Word,Meaning
grade,"등급, 성적, 학년"
rare,"드문, 희귀한"
earth,"지구, 땅, 흙"
period,"기간, 시대, 마침표"
find,"발견하다, 알다"
rule,"규칙, 지배, 지배하다"
conductor,"지휘자, 차장"
common,"공통의, 보통의"
force,"힘, 폭력, (~s)군대"
good,"능숙한, 좋은"
capital,"수도, 대문자인"
much,"대단히, 매우, 많은"
correct,"고치다, 올바른"
industry,"산업, 공업, 근면"
court,"법정, 경기장"
little,"거의~않다, 조금"
say,~라고 쓰여 있다
roll,"출석부, 구르다"
sail,"항해하다, 돛"
crowd,"붐비다, 군중"
blind,"눈 먼, 블라인드"
suit,"알맞다, 한 벌"
